anio,sexo,entidad,casos_proteccion_atendidos,fecha
2010,hombre,Aguascalientes,1.0,2010-01-01
2010,mujer,Aguascalientes,0.0,2010-01-01
2011,hombre,Aguascalientes,1.0,2011-01-01
2011,mujer,Aguascalientes,0.0,2011-01-01
2012,hombre,Aguascalientes,2.0,2012-01-01
2012,mujer,Aguascalientes,0.0,2012-01-01
2013,hombre,Aguascalientes,1.0,2013-01-01
2013,mujer,Aguascalientes,0.0,2013-01-01
2014,hombre,Aguascalientes,,2014-01-01
2014,mujer,Aguascalientes,,2014-01-01
2015,hombre,Aguascalientes,,2015-01-01
2015,mujer,Aguascalientes,,2015-01-01
2016,hombre,Aguascalientes,,2016-01-01
2016,mujer,Aguascalientes,,2016-01-01
2017,hombre,Aguascalientes,,2017-01-01
2017,mujer,Aguascalientes,,2017-01-01
2018,hombre,Aguascalientes,,2018-01-01
2018,mujer,Aguascalientes,,2018-01-01
2019,hombre,Aguascalientes,1.0,2019-01-01
2019,mujer,Aguascalientes,0.0,2019-01-01
2020,hombre,Aguascalientes,,2020-01-01
2020,mujer,Aguascalientes,1.0,2020-01-01
2021,hombre,Aguascalientes,1.0,2021-01-01
2021,mujer,Aguascalientes,,2021-01-01
2022,hombre,Aguascalientes,1.0,2022-01-01
2022,mujer,Aguascalientes,,2022-01-01
2023,hombre,Aguascalientes,1.0,2023-01-01
2023,mujer,Aguascalientes,,2023-01-01
2024,hombre,Aguascalientes,2.0,2024-01-01
2024,mujer,Aguascalientes,,2024-01-01
2025,hombre,Aguascalientes,,2025-01-01
2025,mujer,Aguascalientes,1.0,2025-01-01
2010,hombre,Baja California Norte,,2010-01-01
2010,mujer,Baja California Norte,,2010-01-01
2011,hombre,Baja California Norte,1.0,2011-01-01
2011,mujer,Baja California Norte,0.0,2011-01-01
2012,hombre,Baja California Norte,1.0,2012-01-01
2012,mujer,Baja California Norte,0.0,2012-01-01
2013,hombre,Baja California Norte,,2013-01-01
2013,mujer,Baja California Norte,,2013-01-01
2014,hombre,Baja California Norte,,2014-01-01
2014,mujer,Baja California Norte,,2014-01-01
2015,hombre,Baja California Norte,,2015-01-01
2015,mujer,Baja California Norte,,2015-01-01
2016,hombre,Baja California Norte,,2016-01-01
2016,mujer,Baja California Norte,,2016-01-01
2017,hombre,Baja California Norte,,2017-01-01
2017,mujer,Baja California Norte,,2017-01-01
2018,hombre,Baja California Norte,2.0,2018-01-01
2018,mujer,Baja California Norte,0.0,2018-01-01
2019,hombre,Baja California Norte,1.0,2019-01-01
2019,mujer,Baja California Norte,1.0,2019-01-01
2020,hombre,Baja California Norte,1.0,2020-01-01
2020,mujer,Baja California Norte,,2020-01-01
2021,hombre,Baja California Norte,1.0,2021-01-01
2021,mujer,Baja California Norte,3.0,2021-01-01
2022,hombre,Baja California Norte,,2022-01-01
2022,mujer,Baja California Norte,,2022-01-01
2023,hombre,Baja California Norte,,2023-01-01
2023,mujer,Baja California Norte,,2023-01-01
2024,hombre,Baja California Norte,,2024-01-01
2024,mujer,Baja California Norte,1.0,2024-01-01
2025,hombre,Baja California Norte,,2025-01-01
2025,mujer,Baja California Norte,,2025-01-01
2010,hombre,Baja California Sur,,2010-01-01
2010,mujer,Baja California Sur,,2010-01-01
2011,hombre,Baja California Sur,,2011-01-01
2011,mujer,Baja California Sur,,2011-01-01
2012,hombre,Baja California Sur,,2012-01-01
2012,mujer,Baja California Sur,,2012-01-01
2013,hombre,Baja California Sur,,2013-01-01
2013,mujer,Baja California Sur,,2013-01-01
2014,hombre,Baja California Sur,,2014-01-01
2014,mujer,Baja California Sur,,2014-01-01
2015,hombre,Baja California Sur,,2015-01-01
2015,mujer,Baja California Sur,,2015-01-01
2016,hombre,Baja California Sur,,2016-01-01
2016,mujer,Baja California Sur,,2016-01-01
2017,hombre,Baja California Sur,1.0,2017-01-01
2017,mujer,Baja California Sur,0.0,2017-01-01
2018,hombre,Baja California Sur,,2018-01-01
2018,mujer,Baja California Sur,,2018-01-01
2019,hombre,Baja California Sur,2.0,2019-01-01
2019,mujer,Baja California Sur,0.0,2019-01-01
2020,hombre,Baja California Sur,,2020-01-01
2020,mujer,Baja California Sur,,2020-01-01
2021,hombre,Baja California Sur,2.0,2021-01-01
2021,mujer,Baja California Sur,,2021-01-01
2022,hombre,Baja California Sur,,2022-01-01
2022,mujer,Baja California Sur,,2022-01-01
2023,hombre,Baja California Sur,,2023-01-01
2023,mujer,Baja California Sur,,2023-01-01
2024,hombre,Baja California Sur,,2024-01-01
2024,mujer,Baja California Sur,1.0,2024-01-01
2025,hombre,Baja California Sur,,2025-01-01
2025,mujer,Baja California Sur,,2025-01-01
2010,hombre,Campeche,,2010-01-01
2010,mujer,Campeche,,2010-01-01
2011,hombre,Campeche,1.0,2011-01-01
2011,mujer,Campeche,0.0,2011-01-01
2012,hombre,Campeche,0.0,2012-01-01
2012,mujer,Campeche,1.0,2012-01-01
2013,hombre,Campeche,,2013-01-01
2013,mujer,Campeche,,2013-01-01
2014,hombre,Campeche,,2014-01-01
2014,mujer,Campeche,,2014-01-01
2015,hombre,Campeche,,2015-01-01
2015,mujer,Campeche,,2015-01-01
2016,hombre,Campeche,,2016-01-01
2016,mujer,Campeche,,2016-01-01
2017,hombre,Campeche,,2017-01-01
2017,mujer,Campeche,,2017-01-01
2018,hombre,Campeche,,2018-01-01
2018,mujer,Campeche,,2018-01-01
2019,hombre,Campeche,,2019-01-01
2019,mujer,Campeche,,2019-01-01
2020,hombre,Campeche,2.0,2020-01-01
2020,mujer,Campeche,1.0,2020-01-01
2021,hombre,Campeche,,2021-01-01
2021,mujer,Campeche,,2021-01-01
2022,hombre,Campeche,1.0,2022-01-01
2022,mujer,Campeche,,2022-01-01
2023,hombre,Campeche,1.0,2023-01-01
2023,mujer,Campeche,,2023-01-01
2024,hombre,Campeche,,2024-01-01
2024,mujer,Campeche,,2024-01-01
2025,hombre,Campeche,,2025-01-01
2025,mujer,Campeche,,2025-01-01
